"SDM",
"ICDM",
"SIGMOD",
"SIGKDD",
"VLDB",
"ICDE",
"CVPR",
"ICML",
"ICCV",
"COLT",
"SIGIR",
"ECCV",
"AAAI",
"IJCAI",
